[00:00]  Sottotitoli creati dalla comunità Amara.org
[04:18]  individuare il destinatario e quindi valutare se ha a che fare con un bambino, un adolescente o un adulto
[04:26]  e se tale destinatario sia un principiante oppure una persona che ha già acquisito una buona acquaticità,
[04:35]  scegliere i mezzi con i quali comunicare, accertarsi che il proprio destinatario
[04:41]  e quindi l'allievo sia in grado di raccogliere fedelmente,
[04:46]  proporre il messaggio considerare eventuali interferenze.
[04:52]  C'è da sottolineare che la comunicazione interpersonale è caratterizzata dall'istaurarsi di un rapporto,
[05:00]  quindi di un legame, tra gli interlocutori e questa dimensione relazionale esercita una forte influenza anche sul contenuto.
[05:11]  Il codice verbale indica ciò che si dice, mentre il codice non verbale riguarda il come lo si dice.
[05:20]  Quindi è importante che l'istruttore scelga con accuratezza le parole, considerando sempre le caratteristiche dell'allievo
[05:30]  e che sappia considerare la postura, la gestualità, i movimenti del corpo, le espressioni del volto,
[05:38]  lo sguardo, l'uso dello spazio, il tono della voce e le espressioni legate alle emozioni.
[05:46]  In più, anche la scelta del linguaggio diventa fondamentale.
[05:51]  L'istruttore deve scegliere il livello linguistico più idoneo in funzione delle persone con cui si interfaccia.
[05:59]  Ha la possibilità e la necessità di modulare il proprio livello linguistico tra due estremi.
[06:07]  Il livello massimo, e cioè quel linguaggio tecnico, per chi ha già iniziato
[06:12]  oppure ha raggiunto un livello di nuoto avanzato, è un livello minimo per chi è principiante.
[06:20]  Insomma, se conta molto ciò che si dice, conta ancora di più come lo si dice.
[06:28]  Un altro elemento importante è il contesto.
[06:32]  Il contesto comprende sia l'ambiente fisico quanto quello sociale dove la comunicazione ha luogo.
[06:40]  C'è da considerare che l'ambiente piscina è un ambiente piuttosto ricco di elementi di disturbo.
[06:47]  Sono presenti diverse barriere alla comunicazione, come il rumore di sottofondo,
[06:53]  la presenza di molte persone contemporaneamente, solo per citarne due.
[06:58]  In più, è un ambiente sociale nel quale è necessario riconoscere i componenti.
[07:05]  Un ulteriore elemento del processo comunicativo è l'empatia,
[07:10]  e cioè quella sintonia relazionale che favorisce l'apprendimento.
[07:15]  Affinché la comunicazione tra istruttore e allievo sia efficace,
[07:20]  è importante che l'istruttore sappia controllare che il proprio messaggio sia stato compreso nel modo corretto.
[07:28]  È pertanto importante che sappia cogliere il feedback del proprio allievo,
[07:34]  e per poterlo fare è importante che abbia un coinvolgimento positivo nella comunicazione didattica,
[07:41]  e per ciò che sappia rendere le lezioni interessanti, coinvolgenti e divertenti.
[07:48]  In sintesi, l'istruttore, durante la lezione, per rendere la sua comunicazione efficace,
[07:55]  dovrà considerare di utilizzare parole adeguate, una gestualità corretta,
[08:01]  e stabilire delle regole di ingaggio con i suoi allievi, che possano favorire la comunicazione stessa.
[08:09]  Pertanto, nel momento in cui andrà a spiegare tecnicamente gli esercizi,
[08:14]  dovrà verificare che i suoi allievi siano in grado sia di osservarlo che di ascoltarlo.
[08:21]  Sarà utile stabilire un linguaggio ed una gestualità condivisa
[08:26]  per poter comunicare in modo efficace anche nel corso dell'esecuzione degli esercizi.
[08:32]  Un'altra cosa che non potrà mancare, sempre con l'obiettivo di rendere la comunicazione efficace,
[08:40]  sarà fornire feedback di rinforzo al proprio allievo,
[08:45]  sottolineando costantemente in modo positivo l'impegno, l'attenzione e i risultati ottenuti
[08:53]  al fine di mantenere alto l'interesse ed il rendimento.
[08:58]  Una scuola nuoto deve poter mettere in comune idee, pensieri, contenuti, conoscenze
[09:05]  relative all'attività in acqua in tutte le sue sfaccettature.
[09:09]  Comunicazione ed insegnamento del nuoto costituiscono un binomio incendibile
[09:15]  perché la comunicazione è l'essenza stessa dell'azione didattica.
[09:21]  Passiamo ora al secondo argomento della prima parte, e cioè l'intelligenza emotiva.
[09:29]  Il concetto di intelligenza emotiva è stato introdotto nel 1990 da due autori,
[09:37]  Salloway e Mayer, ma diventa popolare cinque anni dopo con la pubblicazione del libro
[09:44]  Intelligenza emotiva di Daniel Goleman, che spiega come l'intelligenza emotiva
[09:50]  sia un insieme di competenze e caratteristiche che diventano fondamentali
[09:56]  per riuscire ad affrontare con successo la propria vita utilizzando autocontrollo,
[10:02]  entusiasmo, perseveranza e capacità di automotivarsi.
[10:07]  Secondo gli autori Goleman, Mayer e Salloway, l'intelligenza emotiva comprende i seguenti ambiti.
[10:14]  Riconoscere le proprie emozioni, relativa alla consapevolezza che rende un soggetto
[10:21]  capace di riconoscere le emozioni nel momento in cui insorgono,
[10:26]  sta alla base dell'intelligenza emotiva, perché l'abilità di identificare e monitorare
[10:32]  le proprie emozioni aiuta ad incrementare il livello di autoconsapevolezza.
[10:38]  Patroneggiare le proprie emozioni aiuta ad accrescere il livello di consapevolezza di sé
[10:45]  e quindi rende capace di tollerare senza traumi gli eventi positivi e negativi della vita.
[10:52]  Motivare se stessi è la spinta che ogni soggetto si dà al fine di raggiungere un obiettivo prefissato.
[11:00]  Riconoscere le emozioni altrui è fondamentale in particolar modo proprio per i tecnici sportivi,
[11:08]  in quanto permette di accrescere quelle capacità empatiche fondamentali per costruire le competenze sociali,
[11:19]  che si devono utilizzare specialmente in fase di formazione ed è importantissimo imparare a cogliere
[11:28]  e a fare distinzioni tra i soggetti in base all'umore, al temperamento e alla motivazione.
[11:35]  Utilizzare le competenze sociali nell'interazione con gli altri è la capacità di analisi della situazione sociale,
[11:43]  è quella che ci permette di riconoscere, di comprendere sentimenti, motivazioni e preoccupazioni altrui.
[11:52]  L'intelligenza emotiva si rivela una componente essenziale non solo in ambito personale ma anche in ambito lavorativo,
[12:02]  perché ci permette di entrare in relazione con gli altri effettuando una critica in forma costruttiva,
[12:09]  creando un'atmosfera dove le diversità tra i soggetti possano diventare qualcosa da apprezzare e non una fonte di attrito.
[12:19]  È quindi importante sia nelle relazioni con i propri colleghi istruttori sia con i propri allievi imparare a relazionarsi
[12:31]  considerando alcune caratteristiche, come essere specifici, offrire una soluzione, essere presenti ed essere empatici.
[12:43]  Dato che l'intelligenza emotiva può essere stimolata sin da bambini, è compito dell'educatore far sì che abbia uno sviluppo ottimale.
[12:53]  È quindi compito di ogni educatore imparare a conoscere se stesso al fine di gestire con intelligenza e semplicità il proprio profilo emotivo
[13:06]  affinché questo possa diventare una fonte di benessere futuro per il bambino.
[13:12]  Infatti i bambini quando imparano a riconoscere e gestire le proprie emozioni riescono a tollerare in maniera più efficace le situazioni stressanti
[13:23]  ed imparano a comunicare i propri stati emozionali sviluppando relazioni migliori sia con la famiglia che con gli amici.
[13:32]  Inoltre otterranno risultati migliori sia a scuola che nello sport e nella vita in generale.
[13:40]  È utile ricordare una ricerca in cui due autori, Michel Ebsen, assegnarono il seguente compito ad alcuni bambini di quattro anni
[13:52]  attendere il ritorno del ricercatore evitando di mangiare una caramella che era stata affidata ad ognuno.
[14:02]  Se prima del ritorno dell'esaminatore i bambini non avessero mangiato le caramelle, come premio avrebbero ottenuto due caramelle a testa.
[14:12]  In caso contrario si sarebbero dovuti accontentare di quell'unica mangiata in sua assenza.
[14:19]  Questa ricerca mostrò che i bambini di quell'età possedevano la capacità di resistere all'impulso di mangiare le caramelle
[14:28]  e rivisti in età adolescenziale dimostrarono una maggiore competenza sociale, erano efficienti a livello personale,
[14:38]  dimostravano di essere sicuri di sé ed in grado di fronteggiare con più tranquillità le frustrazioni.
[14:46]  Dal punto di vista educativo e della performance quegli stessi bambini si dimostravano più efficienti nell'accettare
[14:56]  e nel perseguire con più tenacia i propri obiettivi, senza farsi spaventare dalle difficoltà e con la capacità di attendere la gratificazione.
[15:07]  Coloro che da piccoli si erano dimostrati in grado di attendere il premio erano diventati studenti migliori rispetto agli altri
[15:17]  che si dimostravano molto più competenti sia sul piano scolastico che su quello educativo.
[15:24]  Attualmente assistiamo ad una vera e propria condizione di analfabetismo emotivo nei giovani.
[15:33]  Tutti gli studi effettuati in questi ultimi anni ci dicono chiaramente che esiste un rapporto direttamente proporzionale
[15:41]  tra analfabetismo emotivo e disturbi del comportamento.
[15:47]  L'alfabetizzazione emotiva dei bambini risulta la strategia più efficace per fare attivamente prevenzione.
[15:56]  A tal proposito sono stati sviluppati in ambito formativo programmi per insegnare nelle strutture educative a riconoscere e a gestire le emozioni.
[16:08]  Gli insegnanti aiutano i propri allievi ad apprendere l'autoconsapevolezza,
[16:15]  ossia la capacità di riconoscere ed elaborare verbalmente i sentimenti.
[16:21]  Quindi possiamo affermare che gli struttori, attraverso un'adeguata educazione,
[16:27]  possono contribuire allo sviluppo dell'intelligenza emotiva
[16:32]  e consentire quindi di evitare che in futuro i ragazzi vivano un inaridimento dei rapporti interpersonali
[16:41]  con un senso di inadeguatezza e di caduta dell'autostima.
[16:46]  L'intelligenza emotiva è la sintesi tra la reazionalità e la vita emotiva
[16:52]  e quel qualcosa in più che può migliorare il benessere individuale e quello dei gruppi sociali
[16:59]  Naturalmente, se sviluppata parallelamente alla preparazione professionale,
[17:05]  aiuta ad ottimizzare i processi di acquisizione, di apprendimento e di scambio delle informazioni.
[17:14]  Passiamo al terzo argomento che è appunto quello insegnamento ed apprendimento.
[17:21]  Insegnamento ed apprendimento sono i pilastri fondamentali del sistema educativo.
[17:28]  Per affrontare questo argomento partiremo dalla definizione dei due termini.
[17:34]  L'insegnamento è l'atto di fornire specifiche conoscenze, competenze ed informazioni agli allievi
[17:42]  attraverso una vasta gamma di metodi e strategie.
[17:47]  Gli insegnanti hanno il compito di progettare ed offrire delle lezioni interessanti e coinvolgenti
[17:54]  in modo da stimolare l'interesse e la motivazione ad apprendere dei loro allievi,
[18:00]  tenendo conto naturalmente dell'età, delle caratteristiche peculiari dei singoli allievi ma anche del gruppo.
[18:09]  L'insegnamento invece consiste in una molteplice serie di comportamenti realizzati dagli educatori
[18:18]  allo scopo di far apprendere qualcosa agli allievi e si può attuare sia fra gli adulti che fra i bambini.
[18:26]  Una cosa molto importante da sottolineare è che l'insegnamento deve seguire quelle che vengono definite
[18:34]  le modalità di apprendimento spontaneo.
[18:37]  Deve quindi rispettare i tempi dell'individuo che sono ovviamente in relazione ai limiti e alle risorse presenti.
[18:47]  L'insegnamento richiede la massima competenza professionale come condizione necessaria
[18:53]  per una traduzione pratica ed effettiva nell'apprendimento.
[18:57]  Più gli istruttori sono bravi, non solo a livello tecnico ma anche a livello educativo, psicologico e didattico,
[19:04]  più facilmente si instaurerà un buon rapporto con gli allievi che si sentiranno coinvolti ed interessati
[19:13]  ed anche responsabilizzati, condizioni essenziali per favorire appunto l'apprendimento.
[19:20]  Tutto ciò non potrà che stimolare un impegno maggiore e il risultato sarà quello di avere degli allievi
[19:27]  che impareranno bene da protagonisti attivi e motivati.
[19:32]  Molti studi sono stati fatti sul processo di insegnamento e apprendimento,
[19:38]  ponendo per ciascun autore l'accento su aspetti diversi.
[19:43]  Ne possiamo citare alcuni.
[19:46]  Gli studi di Piacet misero in evidenza il ruolo dell'imitazione,
[19:51]  mentre quelli dello psicologo canandese Bandura sottolinearono l'importanza del modeling,
[19:58]  fino ad arrivare allo scienziato russo Vygotsky che spiegò come l'apprendimento del bambino
[20:04]  avvenga con l'aiuto degli altri.
[20:07]  Definì infatti il concetto di zona di sviluppo prossimale,
[20:12]  che indica appunto la differenza tra ciò che il bambino può imparare da solo
[20:17]  e ciò che invece può apprendere grazie all'aiuto e alla guida di adulti e coetanei.
[20:24]  Il ruolo dell'insegnamento è quindi quello di creare le condizioni adatte
[20:30]  affinché l'apprendimento possa avvenire.
[20:34]  Creare un ambiente per l'apprendimento significa lavorare sulla relazione
[20:39]  e sulla comunicazione efficace, e cioè fare in modo che si generi
[20:44]  un ambiente ricco di esperienze sensoriali, emotive e tecniche
[20:49]  tali da permettere all'allievo di avere un ruolo attivo.
[20:55]  L'apprendimento si compone dell'unione degli aspetti cognitivi e affettivi,
[21:01]  quindi motivazione, percezione, emozione e sentimenti,
[21:05]  ed è definito come la capacità di modificare pensieri e comportamenti
[21:11]  a seguito di una situazione esperita ripetutamente.
[21:15]  Pertanto l'esperienza è la condizione imprescindibile
[21:20]  affinché si abbia l'apprendimento.
[21:24]  L'apprendimento inoltre non è inerente solo all'acquisizione di nuove competenze,
[21:30]  ma coinvolge tutte le sfere della personalità ed ha una finalità adattativa.
[21:36]  Implica anche la capacità di analizzare e valutare ed applicare le informazioni acquisite.
[21:44]  L'apprendimento non si riferisce solo a conoscenze e capacità,
[21:49]  ma anche ad atteggiamenti, valori e abitudini.
[21:53]  Guarda pertanto tutta la sfera della personalità.
[21:56]  L'istruttore deve essere una persona competente e professionalmente preparata,
[22:02]  in grado di costruire un percorso che sia personalizzato sulle emozioni e sulla realtà dei suoi allievi,
[22:10]  al fine di ottenere un cambiamento nel pieno rispetto degli allievi stessi
[22:16]  e nella consapevolezza di essere un educatore che tenga conto dei principi della cultura dell'acqua.
[22:23]  Con questo argomento termina il mio intervento.
[22:27]  Spero di essere stata chiara ed utile per il vostro futuro lavoro come istruttori.
